sentiment,message,tweetid
0,no one ever predicted this was going to happen. #sarcasm https://t.co/eeJsozDYKc,24001
1,@Stooshie its as closely related as Andrews original claim that evolution and entropy #sarcasm,24002
2,I find it ironic when Vegans say they love food #Irony,24003
-1,Quick rt that throwing money vine I've not seen it 30 times in the last 30 seconds #sarcasm,24004
2,"yep, keep adding me to your #devops lists.... #justsaying #infosec #irony",24005
-1,wonderful time with customer service @TMobile  #sarcasm can't add line w loyalty plan. Rep couldn't even explain data plan options to me,24006
0,@RalphtheBold: But ... football. #sarcasm,24007
0,So last month I lost my job and today my dad lost his. 2015 is such a great year... #sarcasm,24008
1,"Rahm has solved crime, budget &amp; pension issues, thus he's in France's to work on trade... @RahmTruthTeam @PeterNickeas #sarcasm",24009
2,And the heel on my @katespadeny shoe just broke. I love when I buy expensive shoes and they don't last #sarcasm,24010
-1,This girl can't wait to shop on Michigan Ave. #sarcasm #hateshopping,24011
2,That shitty feeling we all love so much 馃槉 #sarcasm,24012
-1,@Nola2016 ...says the person typing in shorthand and emoji. #irony @philoverdrunk @Roze11e @TakeThatDarwin,24013
0,Crowded hallways are the loneliest places #irony,24014
0,@dorkiesaurus I remember when I lived in Downtown Toronto... such an interesting place. #sarcasm,24015
1,I'll go for @NazranaYusufzai to say that. #sarcasm https://t.co/ppPjVLEyNv,24016
2,oh wait are you even in this episode? #ironic,24017
-1,"@theandyboyd You say, via twitter. #irony",24018
2,"Maybe it's just me, but I'm sure that's not six words....馃槤 #irony #typicalteacher https://t.co/oOHfP7LORt",24019
-1,#Ironic that I just tweeted about them https://t.co/EM1kLZ5SDP,24020
0,@MarkMaddenX but moving the coaches from 1st to 3rd and 3rd to 1st is really working out though. #sarcasm,24021
0,I just love getting anxiety at random times. Its fun! #sarcasm,24022
1,@SpencerJCox last tweet was hashtag #irony,24023
2,To Liberals who care so much about Corporations and profits #ppsellsbabyparts and are funded by the United States Government #Irony,24024
-1,@HOT97 it's pretty obvious @MeekMill mad he's not getting credit for ghostwriting drakes verse 馃槀 #sarcasm,24025
2,@JessieJ should really go to sleep love catching the bus to school in the morning 馃槑馃槪馃槾 #sarcasm,24026
-1,@cjwerleman surprisingly those with brains can't use them! #irony,24027
0,"@MetroUK Lol, clicked on this and it's surrounded by @McDonalds ads #Ironic",24028
0,Gotta let u in on what u missed out on #irony 馃槉馃槉馃槉馃挴,24029
1,"@sexysportsfan Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns! #sarcasm",24030
2,Pencils for Pencils! http://t.co/ACl3MsrTxi via @Etsy #pencils #cottonandsteel #irony #handmadelove #etsy #backtoschool,24031
-1,Changing my band name to Secrets &amp; Overalls. Because that's the best thing I've ever thought of in my life. #sarcasm #orisit #veryserious,24032
2,"I'm preeeeetttyyy sure that ""Respect the Red Light"" is about traffic laws. #bikesafety #visionzero #irony #whatever http://t.co/pzScuV3SKv",24033
-1,It's really great that pointless feuding between celebs gets more attention than things that actually matter. #RealLife #bullshit #sarcasm,24034
0,@IndiaExplained so u support to those people who wave Pakistan flag in India. #irony,24035
0,One time for #insomnia Yay! #sarcasm,24036
1,@Deadline @khloekardashian @FYI #Irony this family is famous because one of them got a cock in her tail! Oh and that murder trial!,24037
