sentiment,message,tweetid
0,b'RT @tedlieu: Dear @hughhewitt: Yesterday @realDonaldTrump said he \xe2\x80\x9cstopped\xe2\x80\x9d the #coronavirus &amp; \xe2\x80\x9cclosed it down.\xe2\x80\x9d Kudlow &amp; @KellyannePolls s\xe2\x80\xa6',27001
1,b'RT @NYGovCuomo: UPDATE: We have learned of new confirmed cases of #Coronavirus in NYS bringing the total number of cases to 76.\n\n- 57 cases\xe2\x80\xa6',27002
2,"b""RT @Reuters: #Coronavirus update: Here's what you need to know right now https://t.co/l2faKyz4LO https://t.co/VY14MKBbfu""",27003
-1,b'@trish_regan @realDonaldTrump So \xe2\x80\x9cyesterday\xe2\x80\x99s news\xe2\x80\x9d. Why don\xe2\x80\x99t you put your journalistic hat on and report on\xe2\x80\xa6 https://t.co/g28BY7n5ne',27004
2,b'RT @tedlieu: Dear @hughhewitt: Yesterday @realDonaldTrump said he \xe2\x80\x9cstopped\xe2\x80\x9d the #coronavirus &amp; \xe2\x80\x9cclosed it down.\xe2\x80\x9d Kudlow &amp; @KellyannePolls s\xe2\x80\xa6',27005
-1,b'RT @jamesross: @jenniferatntd NY has Declared the Equivalent of Medial Martial Law\nhttps://t.co/SP8uIn9boW\n#coronavirus #covid19 https://t.\xe2\x80\xa6',27006
0,b'Breaking News: #NHL #HockeyTwitter #coronavirus https://t.co/uraY6cyKG4',27007
0,b'RT @Complex: FBI employee tests positive for #coronavirus. \n\nMore: https://t.co/ZO6QxKHXKP https://t.co/gxhSiT7LFK',27008
1,b'RT @thartman2u: Thread \xf0\x9f\x91\x87 on #COVID19 / #coronavirus information resources RT @librariesval - (Thx @NebraskaSower) @NebLibraries @MidConMLA\xe2\x80\xa6',27009
2,b'@nytimesworld This continuous sniping at China is what will doom the US by clouding mental faculties. #coronavirus #COVID19US',27010
-1,b'RT @PrincessBravato: Why did @realDonaldTrump deny the offer from @WHO for \nTests ??\n#coronavirus \nThat denial set back testing and people\xe2\x80\xa6',27011
2,b'RT @DrZweliMkhize: Take the precautions: Wash your hands\nMake sure you keep a distance of about a metre and a half from a person with sympt\xe2\x80\xa6',27012
-1,"b'RT @AjitPaiFCC: PLEASE READ this article. Li Zehua resigned from state-run China Central TV to report on #coronavirus. Last week, Chinese a\xe2\x80\xa6'",27013
0,b'RT @tedlieu: Dear @hughhewitt: Yesterday @realDonaldTrump said he \xe2\x80\x9cstopped\xe2\x80\x9d the #coronavirus &amp; \xe2\x80\x9cclosed it down.\xe2\x80\x9d Kudlow &amp; @KellyannePolls s\xe2\x80\xa6',27014
0,"b""RT @howroute: One slide in a leaked American Hospital Association presentation for hospitals reveals that they're preparing for millions of\xe2\x80\xa6""",27015
1,b'RT @2019nCoVwatcher: BREAKING: Malta confirms first case of #coronavirus.',27016
2,"b""RT @womensmarchsea: Due to #coronavirus Womxn's March Seattle will happen online. Watch/participate from the safety of your own home. Follo\xe2\x80\xa6""",27017
-1,b'WELL DONE @realDonaldTrump very good job with the #coronavirus #usa #nyc. Maybe the people will start to understand\xe2\x80\xa6 https://t.co/01O1Fg5mPe',27018
2,b'RT @DrDenaGrayson: This latest report of SARS-like lung damage is consistent with prior clinical reports of #coronavirus cases from #China.\xe2\x80\xa6',27019
-1,"b'RT @AJEnglish: #Coronavirus updates:\n\n\xe2\x80\xa2 Infection cases top 100,000 worldwide \n\xe2\x80\xa2 Nearly 3,500 dead\n\xe2\x80\xa2 Outbreak in China appears to be slowin\xe2\x80\xa6'",27020
0,b'RT @ScottGottliebMD: A new analysis suggests the case fatality rate from #coronavirus may be higher than some other recent estimates; and p\xe2\x80\xa6',27021
0,"b'RT @QuickTake: Respiratory droplets on a ""fomite"": The @WHO is making clear this key manner in which the #coronavirus is spreading from per\xe2\x80\xa6'",27022
1,"b'RT @jheyman: @annkillion Thank you for your thoughtful and informative article about #coronavirus impact, especially in San Francisco.  Rea\xe2\x80\xa6'",27023
2,b'Now 102 confirmed cases in Washington. 16 deaths per the WA DOH\xe2\x80\x99s latest update. #coronavirus https://t.co/qL2H6TK6Cj',27024
