sentiment,message,tweetid
2,@Tixaa23 14 para eu ir :),21001
-1,@drexalvarez O meu like eu j谩 dei na 茅poca :),21002
0,Eu s贸 queria conseguir comer alguma coisa pra poder dormir :),21003
1,:D que lindo dia !,21004
0,"@Primo_Resmungao Pq da pr jeito!!茅 uma ""oferta"", ha q aproveitar. :P",21005
1,"@BadWolf_Wagner @DanieVedo Eu entendi, mas isso foi mais porque eu pensei em outra coisa. :P",21006
-1,@Chyko661 @g1 [+] Carcinoma Hepatico (Cancer de Figado). Deivison lutou contra a doen莽a por um ano e faleceu ontem a tarde. Espero que minha explica莽ao tenha te ajudado. :),21007
2,"Aquela mina da limpeza, que tinha um marido com meu problema me adicionou aqui no face, esquisito a princ铆pio mas ah, nega velha e pa, veio perguntar como eu t么 :) Ela deve ter tomado as dor, me viu malzao e p谩.",21008
2,"@narryfools aqui, espero que voc锚 melhore logo :) https://t.co/OBiMIrbU9F",21009
-1,@fefocaires se 茅s feliz trabalhando nisso ent茫o n茫o pare se as pessoas se incomodam com sua opini茫o 茅 pq elas te d茫o ouvido e seu trabalho tem um grande alcance :),21010
0,vamos se seguir no insta? se quiser sdv :) #TercaDetremuraSDV,21011
1,"@youngsnowblood @thegr8angelica a para vc q 茅 鈾ワ笍鈾ワ笍 mt obg, eu me sinto at茅 melhor agr :)",21012
0,foo :) : 400e84d5-1e93-4d95-8280-2d99fc5bbb12,21013
1,Quando voc锚 joga com um youtuber que voc锚 segue e nem percebe na hora rs. Hope I've beaten you mr. @Alex_Olney from @nintendolife :P https://t.co/FMnZCneQUa,21014
-1,@bebadoetriste 茅 pra fazer torresmo :),21015
2,@Calebe80781696 Vixe q treta novelesca! Que bom a amizade foi forte e vcs est茫o conectados ainda! :))),21016
2,Aqui lembrando o shade das donzelas. :) A Camila foi perguntanda em uma entrevista e disse que na hora estava em casa e AT脡 chorou vendo isso. https://t.co/HDIPdpaTgM,21017
-1,@LelloucheNico Bravo ! :),21018
0,Gostei de um v铆deo @YouTube https://t.co/FGEgHwa67q(馃敶LIVE) FORTNITE DA NIGHT :D - LEOZERA - PC,21019
1,"Nenhum dos itens s茫o meus. T么 s贸 fazendo aquela divulga莽茫o :D SP tem prefer锚ncia pra entrega em m茫os, mas a gente faz uns Sedex a铆 e tal RT do amor pra chegar no pr贸ximo Faker!",21020
0,@tommezequiel10 de nada :),21021
1,"@barbaraveronni1 @anacxrvalho @Just_Foxyz. simples ... vou deixa d assistir aquele "" ..."" p v锚 essa s茅rie... :) adeus :)",21022
-1,N茫o estou conseguindo twittar muito pois meu celular est谩 meio bugado e estou totalmente focado na cobertura em portugu锚s desse TI. As entrevistas e conte煤dos extra est茫o vindo aos poucos ao longo dos dias. :D,21023
2,Algu茅m me fala como 茅 ser feliz? :) #TercaDetremuraSDV,21024
2,"@MongeHan 5x8cm Hollywood mint, mas tem formas diferentes, dependendo da marca, mas 茅 por a铆 a m茅dia :)",21025
-1,Mpoooos :))))) https://t.co/5tspCEMtSL,21026
0,ia marcar a ceci mas ela me deu softblock :),21027
1,@aclarapinheir0 Delicada demais :D,21028
0,Tu foi obrigado ent茫o? 鈥?minha ess锚ncia 茅 a mesma :) https://t.co/gU8NAeK2Jh,21029
1,"@stelartoiss consci锚ncia pesou e eu desisti de assistir, melhor dormir msm :)",21030
-1,@RadioRockPuro Boa noite Dino :-),21031
2,"@julialimapessoa Boa noite, Pessoinha :))",21032
2,"E pra fechar, o teclado da Alienware, modelo Pro Gaming AW768 Caralho, que teclado bonito da porra! Nos detalhes: tecladim mec芒nico com switches brown, aquele com resposta t谩til FODA e for莽a de acionamento show! Al茅m de RGB, macros, atalhos program谩veis e tudo! R$ 600 + Frete :) https://t.co/W7mT5xezgO",21033
-1,Ter raz茫o ou ter paz? 鈥?Raz茫o :D https://t.co/jzwINCCI1A,21034
0,@savvasmor mmmmmm iperoxos oute sto alepoxori nasouna :),21035
1,Gostei de um v铆deo do @YouTube https://t.co/wJv8OhOKFs FORTNITE ! NOVAS SKINS :D COMPRO ? R.I.P. TOMATO TOWN ? 馃弳 511 WINS,21036
