sentiment,message,id
0,"The e-commerce boom has exacerbated a global truck driver shortage, but could autonomous trucks help fix the problem?",3001
-1,"Working in a factory can mean doing the same task over and over, which could lead to chronic injury.  A battery-powered glove from Swedish company Bioservo could help workers by taking some of the strain.",3002
2,"In a Hong Kong warehouse, a swarm of autonomous robots works 24/7. They're not just working hard, they're working smart; as they operate, they get better at their job.",3003
1,"For many years, the world's most popular emerging markets have been the so-called BRICS: Brazil, Russia, India, China and South Africa.",3004
0,"The European Union formally approved on Tuesday a new barrage of sanctions against Russia for its invasion of Ukraine, which include bans on investments in the Russian energy sector, luxury goods exports and imports of steel products from Russia.",3005
-1,A woman holding a sign reading "NO WAR" interrupted a live news broadcast on Russian state television Monday to denounce Russia's invasion of Ukraine. ,3006
2,"Fox News correspondent Benjamin Hall, who had been deployed in recent weeks to cover the war in Ukraine, has been hospitalized after being injured while reporting near Kyiv, the network said on Monday.",3007
1,Russia has sent the clearest signal yet that it will soon default �?the first time it will have failed to meet its foreign debt obligations since the Bolshevik revolution more than a century ago.,3008
0,"US oil prices briefly tumbled below $100 a barrel on Monday, unwinding a significant chunk of the recent spike caused by Russia's invasion of Ukraine.",3009
-1,"India may take up a Russian offer to buy crude oil and other commodities at a discount, two Indian officials said, in a sign that Delhi wants to keep its key trading partner on board despite Western attempts to isolate Moscow through sanctions.",3010
2,Japanese authorities ordered crypto exchanges on Monday not to process transactions involving crypto assets subject to asset-freeze sanctions against Russia and Belarus over the war in Ukraine.,3011
1,"As Russia's assault in Ukraine intensifies, fear of radioactive fallout from accidental or intentional attacks on Ukraine's nuclear plants, or from the use of a nuclear bomb, has triggered surging demand for potassium iodide pills.",3012
0,"A digital Iron Curtain may be descending on Russia, as President Vladimir Putin struggles to control the narrative about his war in Ukraine. The Kremlin has already moved to block Facebook and Twitter, and its latest step in that direction came Friday as the government announced plans to block Instagram in the country, as well. ",3013
-1,"Meta, the parent company of Facebook and Instagram, issued a reminder on Sunday that it prohibits calls on its platforms for the assassination of high-ranking world leaders, following intense scrutiny of the company's decision last week to relax hate speech policies in Ukraine.",3014
2,"Citigroup, the major US bank with the biggest footprint in Russia, said Monday it will expand its exit from Russia to go beyond the long-planned sale of its consumer bank there.",3015
1,Dozens of the world's biggest companies have abandoned or scaled back their operations in Russia in response to its invasion of Ukraine. ,3016
0,"Big tech platforms have joined the global backlash against Russia over its invasion of Ukraine, with Facebook, Google, Twitter, Spotify, Netflix and others placing at least partial restrictions on Russian content �?if not exiting (or getting themselves blocked) altogether. ",3017
-1,Nazmin Begum has a problem: she's having to pay much more to keep her two children warm and fed as the United Kingdom endures its worst cost of living crisis in three decades.,3018
2,Starbucks has a love-hate relationship with its cups. ,3019
1,"China's economy started the year on a bright note, with several major indicators beating forecasts. But as Covid cases in the country spike, keeping up the same pace of growth in the coming months may prove difficult.",3020
0,Maria was just about to start a new job as a domestic worker in Hong Kong last month when she found out she had Covid-19.,3021
-1,"Foxconn, one of Apple's biggest suppliers, has suspended operations in Shenzhen as China locks down the technology hub and several other regions to contain the country's worst Covid-19 outbreak in two years.",3022
2,Surging oil and gas prices have raised recession alarm bells around the world. But another economic indicator is starting to look ominous: The yield curve is flattening.,3023
1,President Joe Biden planned to reshape the Federal Reserve through his nominations. But Senator Joe Manchin threw a wrench into those plans Monday.,3024
0,"The lawyers from ClientEarth, which is a Shell shareholder, said they are seeking to hold the oil and gas company's 13 directors liable for what they call a failure to prepare for the global shift to a low-carbon economy.",3025
-1,Energy Vault's gravity-based technology can store wind and solar power longer than batteries. ,3026
2,The auto industry has a saying: You can't build a car with 99% of the parts. But the computer chip shortage is proving that adage wrong.,3027
1,Ben Morris bought his Tesla in 2020 believing that it would drive itself one day. Now he says he would settle for continuing to feel safe using its cruise control. ,3028
