sentiment,message,tweetid
0,#studiolife #aislife #requires #passion #dedication #willpower   to find #newmaterials芒聙娄 ,31963
1, @user #white #supremacists want everyone to see the new 芒聙聵  #birds芒聙聶 #movie 芒聙聰 and here芒聙聶s why  ,31964
2,safe ways to heal your #acne!!    #altwaystoheal #healthy   #healing!! ,31965
-1,"is the hp and the cursed child book up for reservations already? if yes, where? if no, when? 冒聼聵聧冒聼聵聧冒聼聵聧   #harrypotter #pottermore #favorite",31966
0,"  3rd #bihday to my amazing, hilarious #nephew eli ahmir! uncle dave loves you and misses芒聙娄 ",31967
1,choose to be   :) #momtips ,31968
2,something inside me dies 冒聼聮娄冒聼聮驴芒聹篓  eyes ness #smokeyeyes #tired  #lonely #sof #grunge芒聙娄 ,31969
-1,#finished#tattoo#inked#ink#loveit芒聺陇茂赂聫 #芒聺陇茂赂聫芒聺陇茂赂聫芒聺陇茂赂聫芒聺陇茂赂聫 #thanks#aleeee !!! ,31970
0, @user @user @user i will never understand why my dad left me when i was so young.... :/ #deep #inthefeels  ,31971
1,#delicious   #food #lovelife #capetown mannaepicure #resturant芒聙娄 ,31972
2,1000dayswasted - narcosis infinite ep.. make me aware.. grinding neuro bass #lifestyle   ,31973
-1,one of the world's greatest spoing events   #lemans24 #teamaudi  ,31974
0,half way through the website now and #allgoingwell very  ,31975
1,"good food, good life , #enjoy and   冒聼聶聦冒聼聧聲冒聼聭聙冒聼聭聧冒聼聭聦冒聼聭聞 this is called ~garlic bread~ ... #iloveit芒聙娄 ",31976
2,i'll stand behind this #guncontrolplease   #senselessshootings #taketheguns #comicrelief #stillsad ,31977
-1,"i ate,i ate and i ate...冒聼聵聙冒聼聵聤   #jamaisasthi #fish #curry #prawn #hilsa #foodfestival #foodies ",31978
0, @user got my @user limited edition rain or shine set today!!  ! @user @user @user @user ,31979
1,&amp; #love &amp; #hugs &amp; #kisses too! how to keep your #baby     #parenting #healthcare,31980
2,"冒聼聭颅冒聼聦聻冒聼聮聳 #girls   #sun #fave @ london, united kingdom ",31981
-1,thought factory: bbc neutrality on right wing fascism  #politics #media #blm #brexit #trump #leadership &gt;3 ,31982
0,hey guys tommorow is the last day of my exams i'm so happy yay  ,31983
1, @user @user  @user  #levyrroni #recuerdos memories冒聼聮颅芒聺陇冒聼聰聴冒聼聭芦冒聼聮聫 #recuerdos    #friends #life #triunfodelamor ,31984
2,my mind is like 冒聼聨聣冒聼聮聝冒聼聫陆冒聼聫聙 but my body like 冒聼聸聦冒聼聵麓冒聼聭碌冒聼聫陆....   #sleepy #stillallin冒聼聵聣,31985
-1,never been this down on myself in my entire life.  ,31986
0,"check  twitterww - trends: ""trending worldwide 11:14 am bst""1. #oscarpistorius2. #diplomal脛卤liselilerayakta3.  芒聙娄",31987
1,i thought i saw a mermaid!!! #ceegee  #smcr   #inshot #girls #cute #summer #blur #sun  芒聙娄 ,31988
2, chick gets fucked hottest naked lady ,31989
-1,happy bday lucy芒聹篓芒聹篓冒聼聨聢 xoxo #love #beautiful #pizza   #instagood #mileycyrus #demilovato芒聙娄 ,31990
0, haroldfriday have a weekend filled with sunbeams everyone!   #healthy #weekend ,31991
1,"@user @user tried that! but nothing - will try again! know you loved #2, but the 3rd light my fave &amp;deep rivers  ",31992
2,i'll #never be #120 #again i'm   #i'm a #thick #women #blacktina,31993
-1, @user new @user episode tk! and a really cool 2-year anniversary ep in the works for august. :o)   ,31994
0,#orangechicken   attack bull game 3d: do you really think that his head was empty around the city. each side ,31995
1,suppo the #taiji fisherman! no bullying! no racism! #tweet4taiji #thecove #seashepherd ,31996
2,i say we because i'm speaking collectively. i've always known. 2016 showed a lot.  and芒聙娄 ,31997
-1,wish we could talk  ,31998
0,food time for haylie 冒聼聵聸 hot chocolate for mummy 芒聵聲茂赂聫芒聹聟冒聼聦陇冒聼聧聝冒聼聮炉冒聼聮陋芒聵庐冒聼陇聯 thank god it's friday!!! 冒聼聭聫冒聼聭聫冒聼聭聫  芒聙娄 ,31999
1,"@user snow white --&gt; open! --&gt; #sleepy,  , #sneezy and #bashful. @ or dm us today! [#] ",32000
2,"  #bihday #shilpashetty we #wish you to have a very very #successful #yearretailer,manufacturer ladies cloth ",32001
-1,it wasn't me  #lottery ,32002
0,tomorrow will be fun! seeing an old friend and then shooting something super fun:)  ,32003
1,#raw food diet benefits! -    #altwaystoheal #healthy   #healing #peace #joy #love !! ,32004
2,@user @user trumps invested billions into saudi. he empowers the people funding isis.   #trumpsahypocrite,32005
-1,"my granddaughter's 1st bihday is tomorrow.  going to pick her play house, little car, &amp; pool today.   冒聼聨聜冒聼聮聻冒聼聨聛冒聼聮聳冒聼聮聨冒聼聮聻冒聼聨聢",32006
0,happiest place on eah! #disneyworld #orlando #castle   #mickeymouse #likechildrens @user ,32007
1,so baby dave is due to be born on october 26...my fav band of all time #tool will be playing @user the same weekend .....   lol,32008
2,  loving each other every day,32009
-1, @user morning sunshine! 冒聼聮聥   #smile #sexy #bigboobs ,32010
