sentiment,message,tweetid,languages
-1,@tiniebeany气候变化是一件有趣的事情，因为它是全球变暖，但在suv繁荣的时候，地球停止变暖了15年,792927353886371840,zh-CHS
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793124211518832641,fr
1,Märchenhaft! Leonardo #DiCaprio's Film über #climate Wandel ist brillant!!! Schauen Sie zu. https://t.co/7rV6BrmxjW über @youtube,793124402388832256,de
1,RT @Mick_Fanning:刚刚看了莱昂纳多·迪卡普里奥关于气候变化的纪录片。我们都认为thisÃ②â，②Â μ https://t.co/kNSTE8K8im,793124635873275904,zh-CHS
2,RT @cnalive: Pranita Biswasi，一名来自奥里萨邦的路德教徒，就气候变化的影响作证。自然灾害在poÃ②â，②Â μ,793125156185137153,zh-CHS
0,全球变暖https://t.co/mhIflU7M1X,793125429418815489,zh-CHS
2,"RT @cnalive: Pranita Biswasi, eine Lutheranerin aus Odisha, gibt Zeugnis über die Auswirkungen des Klimawandels und von Naturkatastrophen auf die Poã¢â'¬Â¦",793125430236684289,de
2,"RT @CCIRiviera: le candidat présidentiel #DonaldTrump est un ¢A, ¬ A ""dangerousA ¢A, ¬ i † sur le changement climatique, dit # Monaco â ¢A, ¬ A"" ¢S Prince AlbertA ¢A, ¬ A ¦",793126558688878592,fr
0,"[原文へ](翻訳:iwatani (a . k . a . hiwa)
#土着# TAIRP https://tA¢a¬a¦",793127097854197761,ja
1,"#BeforeTheFlood Sehen Sie sich #BeforeTheFlood hier an, während @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen... https://t.co/HCIZrPUhLF",793127346106753028,de
1,[原文へ](翻訳:iwatani (a . k . a . hiwa),793127915269480448,ja
1,"Le Bangladesh n’ayant pas provoqué de changement climatique, le pays n’a pas besoin de â ¢A, ¬ A ""aidA ¢A, ¬ i † ¢; Il a plutôt besoin d’une compensation pour theA ¢â â ¦ https://t.co/ecGXgRNROP",793129746003615745,fr
1,RT @NatGeoChannel:在这里观看#洪水之前，@莱昂纳多·迪卡普里奥环游世界应对气候变化https://t.co/LkDehj3tNn httÃ②â， Â μ,793129922210492417,zh-CHS
1,"Пришло время: нам нужен сильный #FTT, который работает на тех, кто больше всего страдает от изменения климата и бедности!",793130016410365957,ru
2,"RT @WorldResources: réflexions sur Leonardo DiCaprioA ¢a, ¢a ""¢S nouveau film sur le changement climatique, # ¬ theflood https://t.co/YRrLgtZRbc https://t.co/A0tWUA ¢a, ¬ a ¦",793130223529291776,fr
1,"RT @littoralsociety: проблема с глобальной warmingA ¢a, ¬ a € и причина, по которой она продолжает сопротивляться иллюстрации, даже когда улицы наводнение и... Да, да, да",793130438898360320,ru
1,在你的日常生活中，帮助对抗气候变化的一个最简单的方法就是停止吃牛肉。原因:一个¢A¬¦,793131033482829824,zh-CHS
1,RT @esquire: regardez le doc sur le changement climatique de Leo DiCaprio en ligne gratuitement avant la fin du monde: https://t.co/LMY3Vqtlgg https://t.co/g8IMhrZ6v4,793132528701800449,fr
1,"RT @ClimateCentral: So wird sich der Klimawandel auf den Anstieg des Meeresspiegels (und die Überflutung von Städten) auswirken, wenn sich die Welt erwärmt https://t.co/btLitj44uUÃ ¢â'¬Â¦",793132572905644032,de
1,"RT @NatGeoChannel: Sehen Sie sich #BeforeTheFlood hier an, wie @LeoDiCaprio die Welt bereist, um den Klimawandel zu bekämpfen https://t.co/LkDehj3tNn httÃ¢â'¬Â¦",793134328448290816,de
-1,"@marie_dunkley Arschlöcher konnten das Wetter von morgen in einer 4-monatigen Hitzewelle nicht vorhersagen, aber wir vertrauen ihnen beim Klimawandel! Narrr",793135386558070785,de
1,"RT @antonio5591: Флорида, трамп бросил вызов эмбарго против кубы и солгал вам об этом. Кроме того, он не верит в изменение климата, которое будет влиять на ¢a, ¬ a ¦",793135814003699712,ru
1,我们必须应对气候变化。土著人民在为我们的地球，我们的水而抗议。但这确实发生了:https://t.co/EUDmjbgbkx,793136121165312001,zh-CHS
0,Документальный фильм «¢s climate change» с леонардо дикаприо доступен на YouTube https://t.co/1Y3koz4KDY по адресу @thenextweb,793136234654797824,ru
1,"Каждый должен найти время, чтобы посмотреть @NatGeo изменение климата документальный фильм с леонардо дикаприо, время, чтобы быть об этом и перестать говорить об этом",793136536724398080,ru
1,BoingBoing: Watch Before the Flood，一个关于气候变化的紧急呼吁https://t.co/H5GtCYkPVu https://t.co/qC451rs0d1,793136552100724737,zh-CHS
1,"RT @NatGeoChannel: regardez # ¬ theflood ici même, alors que @LeoDiCaprio parcourt le monde entier pour lutter contre le changement climatique https://t.co/LkDehj3tNn httA ¢a, a ¦",793137654242111489,fr
